iter	Passed	Remaining
556	3555	2827
557	3570	2828
558	3575	2821
559	3581	2813
560	3593	2812
561	3603	2808
562	3612	2804
563	3617	2796
564	3624	2790
565	3627	2781
566	3635	2776
567	3639	2768
568	3649	2764
569	3655	2757
570	3665	2753
571	3672	2747
572	3678	2741
573	3680	2731
574	3684	2723
575	3687	2714
576	3689	2704
577	3693	2696
578	3696	2687
579	3699	2678
580	3701	2669
581	3704	2660
582	3708	2652
583	3711	2644
584	3716	2636
585	3719	2627
586	3722	2618
587	3725	2610
588	3727	2601
589	3730	2592
590	3733	2583
591	3736	2574
592	3738	2566
593	3741	2557
594	3743	2548
595	3745	2539
596	3748	2530
597	3751	2521
598	3753	2512
599	3755	2503
600	3757	2494
601	3760	2485
602	3762	2477
603	3764	2468
604	3766	2458
605	3767	2449
606	3769	2440
607	3772	2432
608	3775	2423
609	3778	2416
610	3782	2408
611	3784	2399
612	3787	2391
613	3790	2382
614	3793	2374
615	3796	2366
616	3799	2358
617	3801	2349
618	3803	2341
619	3806	2332
620	3809	2324
621	3811	2316
622	3813	2307
623	3816	2299
624	3818	2290
625	3820	2282
626	3822	2274
627	3825	2265
628	3827	2257
629	3829	2249
630	3832	2241
631	3834	2232
632	3837	2224
633	3839	2216
634	3843	2208
635	3845	2200
636	3847	2192
637	3849	2184
638	3852	2176
639	3854	2168
640	3856	2160
641	3859	2152
642	3864	2145
643	3867	2137
644	3870	2130
645	3873	2647	3918	2128
648	4009	2168
649	4013	2161
650	4018	2154
651	4021	2146
652	4025	2139
653	4029	2131
654	4034	2125
655	4038	2117
656	4103	2142
657	4108	2135
658	4112	2128
659	4117	2121
660	4126	2116
661	4145	2116
662	4155	2112
663	4163	2106
664	4170	2100
665	4175	2094
666	4180	2087
667	4187	2081
668	4194	2075
669	4204	2070
670	4212	2065
671	4219	2059
672	4228	2054
673	4238	2050
674	4247	2045
675	4258	2041
676	4264	2034
677	4270	2027
678	4282	2024
679	4286	2017
680	4295	2012
681	4304	2006
682	4313	2001
683	4322	1997
684	4329	1991
685	4334	1983
686	4338	1976
687	4347	1971
688	4358	1967
689	4365	1961
690	4370	1954
691	4381	1950
692	4390	1944
693	4399	1939
694	4406	1933
695	4414	1928
696	4424	1923
697	4430	1916
698	4441	1912
699	4450	1907
700	4457	1901
701	4461	1893
702	4468	1887
703	4474	1881
704	4478	1873
705	4492	1870
706	4496	1863
707	4499	1855
708	4507	1850
709	4512	1843
710	4521	1837
711	4525	1830
712	4529	1823
713	4532	1815
714	4535	1808
715	4538	1800
716	4542	1792
717	4546	1785
718	4548	1777
719	4552	1770
720	4555	1762
721	4559	1755
722	4562	1747
723	4565	1740
724	4568	1733
725	4572	1725
726	4575	1718
727	4578	1710
728	4581	1703
729	4585	1695
730	4588	1688
731	4592	1681
732	4595	1673
733	4599	1666
734	4602	1659
735	4605	1651
736	4608	1644
737	4612	1637
738	4615	1630
739	4618	744	4559	1560
745	4572	1556
746	4577	1550
747	4588	1545
748	4599	1541
749	4604	1534
750	4614	1530
751	4617	1522
752	4620	1515
753	4630	1510
754	4636	1504
755	4643	1498
756	4649	1492
757	4653	1485
758	4657	1478
759	4662	1472
760	4666	1465
761	4672	1459
762	4678	1453
763	4683	1446
764	4690	1440
765	4699	1435
766	4705	1429
767	4709	1422
768	4717	1417
769	4723	1410
770	4734	1406
771	4738	1399
772	4745	1393
773	4753	1387
774	4762	1382
775	4768	1376
776	4775	1370
777	4782	1364
778	4796	1360
779	4810	1356
780	4817	1350
781	4824	1344
782	4831	1339
783	4835	1332
784	4838	1325
785	4842	1318
786	4845	1311
787	4848	1304
788	4851	1297
789	4855	1290
790	4857	1283
791	4860	1276
792	4862	1269
793	4865	1262
794	4867	1255
795	4871	1248
796	4875	1241
797	4877	1234
798	4880	1227
799	4883	1220
800	4887	1214
801	4890	1207
802	4892	1200
803	4895	1193
804	4898	1186
805	4902	1179
806	4905	1173
807	4909	1166
808	4912	1159
809	4916	1153
810	4919	1146
811	4922	1139
812	4925	1132
813	4927	1125
814	4930	1119
815	4933	1112
816	4936	1105
817	4939	1099
818	4942	1092
819	4946	1085
820	4950	1079
821	4954	1072
822	4957	1066
823	4959	1059
824	4963	1052
825	4966	1046
826	4969	1039
827	4972	1032
828	4975	1026
829	4978	1019
830	4981	1013
831	4985	1006
832	4988	1000
833	4991	993
834	4995	987
835	4999	980
836	5001	974
837	5004	967
838	5007	960
839	5011	954
840	5014	947
841	5016	941
842	5019	934
843	5022	928
844	5025	921
845	5028	915
846	5031	908
847	5034	902
848	5037	895
849	5040	889
850	5043	883
851	5046	876
852	5051	870
853	5054	864
854	5058	857
855	5063	851
856	5066	845
857	5083	841
858	5092	835
859	5096	829
860	5104	823
861	5109	817
862	5112	811
863	5116	805
864	5124	799
865	5127	793
866	5130	787
867	5134	780
868	5138	774
869	5141	768
870	5144	761
871	5148	755
872	5151	749
873	5154	743
874	5157	736
875	5160	730
876	5162	724
877	5165	717
878	5167	711
879	5170	705
880	5173	698
881	5175	692
882	5177	686
883	5180	679
884	5184	673
885	5190	667
886	5193	661
887	5196	655
888	5200	649
889	5202	642
890	5205	636
891	5208	630
892	5211	624
893	5213	618
894	5215	611
895	5217	605
896	5219	599
897	5221	593
898	5223	586
899	5225	580
900	5227	574
901	5230	568
902	5231	562
903	5234	555
904	5236	549
905	5239	543
906	5241	537
907	5243	531
908	5246	525
909	5249	519
910	5251	513
911	5254	506
912	5256	500
913	5259	494
914	5261	488
915	5264	482
916	5266	476
917	5269	470
918	5272	464
919	5274	458
920	5277	452
921	5280	446
922	5282	440
923	5285	434
924	5287	428
925	5290	422
926	5292	416
927	5295	410
928	5297	404
929	5300	398
930	5302	392
931	5305	387
932	5308	381
933	5310	375
934	5313	369
935	5315	363
936	5317	357
937	5320	351
938	5323	345
939	5325	339
940	5328	334
941	5331	328
942	5333	322
943	5336	316
944	5338	310
945	5340	304
946	5342	299
947	5345	293
948	5347	287
949	5349	281
950	5351	275
951	5354	269
952	5356	264
953	5358	258
954	5361	252
955	5363	246
956	5366	241
957	5369	235
958	5371	229
959	5373	223
960	5375	218
961	5379	212
962	5381	206
963	5384	201
964	5386	195
965	5389	189
966	5391	183
967	5393	178
968	5395	172
969	5397	166
970	5400	161
971	5402	155
972	5404	149
973	5406	144
974	5408	138
975	5410	133
976	5411	127
977	5413	121
978	5415	116
979	5417	110
980	5419	104
981	5420	99
982	5422	93
983	5425	88
984	5427	82
985	5429	77
986	5431	71
987	5433	65
988	5435	60
989	5437	54
990	5439	49
991	5441	43
992	5443	38
993	5445	32
994	5447	27
995	5448	21
996	5450	16
997	5451	10
998	5453	5
999	5455	0

995	5513	22
996	5514	16
997	5516	11
998	5518	5
999	5520	0
377	5
999	5379	0
